,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,k_10GHz
2,0,1.716850693,66.38052488,0,0,0,0,31.90262442,0,0,0,0,0,0,0,0,0,3.77
3,2.344619071,14.09623777,63.08793748,0,0,0,0.342280156,20.12892553,0,0,0,0,0,0,0,0,0,4.07
4,0,22.80773981,61.75123508,0,2.228283244,0,0,13.21274187,0,0,0,0,0,0,0,0,0,4.5
5,2.441473339,18.34275749,61.39618454,0,0,0,3.57765682,13.05289859,0,0,0,0,0,0,0,1.189029224,0,4.82
6,5.93917139,17.8494452,59.75625981,0,0,0,3.480482159,11.81714164,0,0,0,0,0,0,0,1.1574998,0,5.85
7,0,18.71418809,61.03401146,0,3.001629606,0,3.648215318,12.38763602,0,0,0,0,0,0,0,1.214319508,0,5.11
8,0,19.00698825,61.46779386,0,0,0,3.706127149,12.58146413,0,2.004868218,0,0,0,0,0,1.232758395,0,5.09
9,1.233201581,18.53491436,60.76943347,0,2.376811594,0,3.615283267,12.2687747,0,0,0,0,0,0,0,1.201581028,0,5.39
10,0,18.88781102,61.29362104,0,1.211294932,0,3.681078105,12.50622689,0,1.195563829,0,0,0,0,0,1.224404184,0,5.06
11,0,20.80592768,61.73588553,0,0,0,2.029584687,12.05401487,0,0,0,0,0,0,0,3.374587237,0,5.43
12,0,20.98334444,61.83610926,0,0,0,2.046635576,12.15722851,0,0,0,0,0,0,0,2.041305796,0.935376416,5.29
13,0,18.40946615,62.23445239,0,0,0,2.091359384,14.21849202,0,0,0,0,0,0,0,2.088607595,0.957622455,5.11
14,0,20.15550899,61.36814823,0,0,0,1.963163119,11.67696041,0,0,0,0,0,4.836219257,0,0,0,5.7
15,1.3758362,20.0958752,61.17596078,0,0,0,2.015004198,11.98439997,0,0,0,0,0,0,0,3.352923652,0,5.66
16,1.319225695,19.86915435,60.24015292,0,2.546913281,0,1.938454083,11.50957112,0,0,0,0,0,0,0,2.576528552,0,5.71
17,0,20.27758427,60.79256203,0,1.29682225,0,1.977385992,11.74642302,0,1.280745941,0,0,0,0,0,2.628476502,0,5.79
18,0,12.65205383,61.8969266,0,0,0,4.795204795,15.07022389,0,0,0,0,0,0,0,5.58559088,0,7.08
19,0,18.41126031,61.28727822,0,0,0,4.184867605,11.72949361,0,0.906002265,0,0,0,0,0,3.481097988,0,5.9
20,6.069395209,18.23504136,59.21151574,0,0,0,3.555698786,10.56235901,0,0,0,0,0,0,0,2.365989902,0,6.01
21,0,19.13860361,60.49412202,0,3.067696309,0,3.731125441,11.08722766,0,0,0,0,0,0,0,2.481224956,0,5.65
22,0,19.49389825,60.9963548,0,0,0,3.798404564,11.29219716,0,1.891277933,0,0,0,0,0,2.527867294,0,5.51
23,0,12.77994773,62.23620985,0,0,0,6.547334701,14.80877849,0,0,0,0,0,0,0,3.627729227,0,6.39
24,0,18.44193818,61.52621136,0,0,0,6.296992481,10.68295739,0,0,0,0,0,0,0,2.093776107,0.958124478,5.84
25,0,18.52362256,61.5772641,0,0,0,6.323617359,10.73090824,0,0,0,0,0,0,0,1.401492499,1.443095244,5.86
26,0,18.04387179,61.27675434,0,0,0,6.160153338,10.45149611,0,0,0,0,0,2.020551592,0,2.047172825,0,5.88
27,0,18.27753211,61.42345757,0,0,0,6.238155401,10.58907138,0,0,0,0,0,2.047799537,0,0,1.423983997,5.9
28,0,17.8609798,61.16244091,0,0,0,6.096905887,10.34593898,0,0,1.106574989,0,0,1.399333906,0,2.027825526,0,5.94
29,0,18.30242803,61.07468497,0,0,0,8.329064645,8.833623604,0,0,0,0,0,0,0,3.46019875,0,6
30,0,19.06675597,60.23914068,0,0,0,10.84567488,5.522065937,0,0,0,0,0,0,0,4.326362531,0,6.41
31,0,9.662331005,60.73556737,0,0,0,4.792721215,14.24360864,0,0,0,0,0,0,0,10.56577177,0,8.43
