,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Expansion
1,0,0,63.3,0,0,0,0,29.96666667,0,6.733333333,0,0,0,0,0,0,0,62
2,0,0,62.06666667,0,0,0,0,28.73333333,0,9.2,0,0,0,0,0,0,0,88
3,0,0,60.83333333,0,0,0,0,27.5,0,11.66666667,0,0,0,0,0,0,0,107
4,0,0,59.5,0,0,0,0,26.16666667,0,14.33333333,0,0,0,0,0,0,0,127
5,0,0,58.13333333,0,0,0,0,24.8,0,17.06666667,0,0,0,0,0,0,0,155
6,0,0,56.7,0,0,0,0,23.36666667,0,19.93333333,0,0,0,0,0,0,0,177
7,0,0,55.23333333,0,0,0,0,21.9,0,22.86666667,0,0,0,0,0,0,0,196
8,0,0,50.36666667,0,0,0,0,17.03333333,0,32.6,0,0,0,0,0,0,0,230
27,0,3.941046617,64.2384106,0,1.895857681,1.214128035,0.766134268,27.07115959,0,0,0.873263213,0,0,0,0,0,0,34
28,0,5.528883868,64.24111205,0,2.48517368,0.238476262,0.753082933,26.58382754,0,0,0.16944366,0,0,0,0,0,0,33
29,0,5.128043396,64.87006434,0,1.28043396,0,0.775829444,27.42840923,0,0,0,0,0,0,0,0.517219629,0,33
31,0,6.044472283,64.42530536,0,2.467898528,0,0,27.06232383,0,0,0,0,0,0,0,0,0,31
36,0,0,62.05743863,0,0,0,4.004169512,22.11279249,0,0,11.82559937,0,0,0,0,0,0,61
37,0,0,62.37436738,0,0,0,3.97747523,22.75999715,0,0,10.88816024,0,0,0,0,0,0,59
38,0,0,62.7285563,0,0,0,3.946346629,23.48393929,0,0,9.841157783,0,0,0,0,0,0,56
39,0,0,63.14742426,0,0,0,3.908976686,24.34036018,0,0,8.603238866,0,0,0,0,0,0,51
40,0,0,62.95346795,0,0,2.619841967,3.856014047,23.97892888,0,0,6.591747147,0,0,0,0,0,0,46
41,0,0,62.83971941,0,0,4.155944869,3.821072297,23.76890268,0,0,5.414360746,0,0,0,0,0,0,44
42,0,0,63.47441828,0,0,0,4.011599807,24.94303666,0,0,6.8563143,0,0,0,0,0.714630947,0,52
43,0,0,63.67876003,0,0,0,4.066936424,25.32405185,0,0,5.767779988,0,0,0,0,1.16247171,0,54
46,0,0,62.59282612,0,0,0,4.756900659,22.80720191,0,0,9.843071318,0,0,0,0,0,0,53
47,0,0,62.40657171,0,0,2.644196869,4.681991257,22.47214779,0,0,7.795092371,0,0,0,0,0,0,49
48,0,0,62.2965322,0,0,4.193205945,4.642604388,22.27176221,0,0,6.595895258,0,0,0,0,0,0,47
49,0,0,62.07130125,0,0,7.361853832,4.556149733,21.86452763,0,0,4.146167558,0,0,0,0,0,0,45
50,0,0,62.90892709,0,0,0,4.872470197,23.38161907,0,0,8.112697533,0,0,0,0,0.72428611,0,55
51,0,0,63.10662904,0,0,0,4.949404557,23.73855579,0,0,7.031734013,0,0,0,0,1.173676602,0,56
54,0,0,61.96949368,0,0,0,5.451592402,21.21319116,0,0,11.36572276,0,0,0,0,0,0,58
55,0,0,62.48563569,0,0,0,5.390535223,22.27600376,0,0,9.84782533,0,0,0,0,0,0,54
56,0,0,62.83625328,0,0,0,5.352462409,22.99627535,0,0,8.815008967,0,0,0,0,0,0,51
57,0,0,63.22435329,0,0,0,5.30339226,23.79701044,0,0,7.675244011,0,0,0,0,0,0,46
58,0,0,63.52683841,0,0,0,3.506700924,25.30032637,0,0,7.666134296,0,0,0,0,0,0,46
62,0,0,63.11255083,0,1.364670205,0,3.487490523,25.1636915,0,0,6.87159694,0,0,0,0,0,0,51
63,0,0,62.7031095,0,2.716108508,0,3.468682653,25.02993193,0,0,6.082167414,0,0,0,0,0,0,55
67,0,1.196430986,63.21481682,0,1.345139922,0,3.433824523,24.78707584,0,0,6.02271191,0,0,0,0,0,0,49
68,0,2.371488694,63.71622299,0,0,0,3.400247169,24.54657804,0,0,5.965463108,0,0,0,0,0,0,41
69,0,1.205311542,63.6227443,0,0,0,3.452502554,24.91658155,0,0,6.802860061,0,0,0,0,0,0,43
70,0,20.63492063,62.96296296,0,0.529100529,0,0,15.87301587,0,0,0,0,0,0,0,0,0,45
71,0,15.73033708,63.48314607,0,1.123595506,0,0,19.66292135,0,0,0,0,0,0,0,0,0,36
72,0,20.21276596,62.76595745,0,1.063829787,0,0,15.95744681,0,0,0,0,0,0,0,0,0,46
73,0,19.78609626,62.56684492,0,1.604278075,0,0,16.04278075,0,0,0,0,0,0,0,0,0,45
74,0,12.28070175,63.4502924,0,2.339181287,0,0,21.92982456,0,0,0,0,0,0,0,0,0,32
75,0,14.77272727,63.06818182,0,2.272727273,0,0,19.88636364,0,0,0,0,0,0,0,0,0,33
76,0,17.12707182,62.70718232,0,2.209944751,0,0,17.9558011,0,0,0,0,0,0,0,0,0,40
77,0,19.35483871,62.3655914,0,2.150537634,0,0,16.12903226,0,0,0,0,0,0,0,0,0,43
78,0,21.46596859,62.04188482,0,2.094240838,0,0,14.39790576,0,0,0,0,0,0,0,0,0,50
79,0,18.91891892,62.16216216,0,2.702702703,0,0,16.21621622,0,0,0,0,0,0,0,0,0,45
80,0,13.79310345,62.64367816,0,3.448275862,0,0,20.11494253,0,0,0,0,0,0,0,0,0,41
81,0,18.47826087,61.95652174,0,3.260869565,0,0,16.30434783,0,0,0,0,0,0,0,0,0,46
82,0,10.17964072,62.5748503,0,4.790419162,0,0,22.45508982,0,0,0,0,0,0,0,0,0,42
83,0,12.79069767,62.20930233,0,4.651162791,0,0,20.34883721,0,0,0,0,0,0,0,0,0,47
84,0,15.25423729,61.86440678,0,4.519774011,0,0,18.36158192,0,0,0,0,0,0,0,0,0,49
85,0,17.58241758,61.53846154,0,4.395604396,0,0,16.48351648,0,0,0,0,0,0,0,0,0,51
86,0,19.78609626,61.22994652,0,4.278074866,0,0,14.70588235,0,0,0,0,0,0,0,0,0,57
