,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Thermal_Conductivity_RT
1,30.86,0,51.23666667,0,0,0,0,17.90333333,0,0,0,0,0,0,0,0,0,-4.431669753
2,26.76,0,53.28666667,0,0,0,0,19.95333333,0,0,0,0,0,0,0,0,0,-2.607156242
3,24.06666667,0,54.63333333,0,0,0,0,21.3,0,0,0,0,0,0,0,0,0,-1.625189295
4,22.24666667,0,55.54333333,0,0,0,0,22.21,0,0,0,0,0,0,0,0,0,-1.278333715
5,21.31333333,0,56.01,0,0,0,0,22.67666667,0,0,0,0,0,0,0,0,0,-1.053605157
5,0,0,59.69367191,0,0,0,0,19.38734381,0,0,0,0,0,0,0,0,20.91898428,-5.78123504
6,19.98,0,56.67666667,0,0,0,0,23.34333333,0,0,0,0,0,0,0,0,0,-0.512932944
6,0,0,60.11168728,0,0,0,0,20.22337455,0,0,0,0,0,0,0,0,19.66493817,-6.086222255
7,0,0,51.96693076,0,27.17189115,3.341370996,0,17.5198071,0,0,0,0,0,0,0,0,0,-4.455061576
8,0,0,51.9656528,0,27.09842058,0,0,17.4805159,0,0,3.455410718,0,0,0,0,0,0,-4.992264879
9,0,0,52.36386012,0,26.8963867,0,0,18.17591358,0,0,2.563839606,0,0,0,0,0,0,-4.676065046
10,0,0,60.34482759,0,10.34482759,0,0,25.86206897,0,0,3.448275862,0,0,0,0,0,0,-1.053605157
11,0,0,52.37834695,0,26.85087029,0,0,18.18212906,0,0,0,0,0,2.588653695,0,0,0,-5.673959753
13,19.92666667,0,56.70333333,0,0,0,0,23.20333333,0,0,0,0.166666667,0,0,0,0,0,-1.036952363
14,18.96,0,57.18666667,0,0,0,0,22.07666667,0,0,0,1.776666667,0,0,0,0,0,-5.02526821
15,0,0,52.38095238,0,26.91808431,2.480016397,0,18.22094692,0,0,0,0,0,0,0,0,0,-4.652151125
15,0,0,58.94741163,0,0,0,0,17.89482327,0,0,0,0,0,0,0,0.439262696,22.7185024,-6.878611761
16,0,0,52.7883182,0,26.66350454,1.639788589,0,18.90838867,0,0,0,0,0,0,0,0,0,-4.76424197
17,0,0,62.62242362,0,0,0,1.666423038,24.41163573,0,0,0,0,0,0,0,0,11.29951761,-2.998221323
