,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Modulus
1,0,0,60.03401361,0,11.9047619,0,0,22.78911565,0,0,2.040816327,0,0,0,3.231292517,0,0,83.12
2,0,0,61.37184116,0,5.054151625,0,0,10.83032491,0,0,2.075812274,11.9133574,0,2.075812274,2.527075812,4.151624549,0,106.7
3,0,0,62.96296296,0,0,0,0,11.11111111,0,0,0,14.81481481,0,5.555555556,0,5.555555556,0,103.2
4,0.662251656,0,62.58278146,0,7.284768212,0,0.662251656,23.50993377,0,0,0,0,0,0,5.298013245,0,0,81.97
5,0,0,66.15214994,0,0,10.25358324,3.087100331,0,20.50716648,0,0,0,0,0,0,0,0,61.29
6,0,0,65.49707602,0,0,12.28070175,2.339181287,0,19.88304094,0,0,0,0,0,0,0,0,68.48
7,0,0,66.29834254,0,0,10.49723757,2.209944751,0,20.99447514,0,0,0,0,0,0,0,0,61.47
8,0,0,66.66666667,0,0,9.677419355,2.150537634,0,21.50537634,0,0,0,0,0,0,0,0,59.1
9,0,0,66.48199446,0,0,10.8033241,1.108033241,0,21.6066482,0,0,0,0,0,0,0,0,58.5
10,0,0,65.85365854,0,0,12.19512195,0,2.43902439,19.51219512,0,0,0,0,0,0,0,0,67.78
11,0,0,66.27218935,0,0,11.24260355,0,2.366863905,20.1183432,0,0,0,0,0,0,0,0,57.82
12,0,0,66.66666667,0,0,10.34482759,0,2.298850575,20.68965517,0,0,0,0,0,0,0,0,55.12
13,0,0,66.66666667,0,0,10.54131054,0,1.709401709,21.08262108,0,0,0,0,0,0,0,0,56.51
14,0,0,65.86826347,0,0,12.5748503,0,1.19760479,20.35928144,0,0,0,0,0,0,0,0,63.95
15,0,0,66.27906977,0,0,11.62790698,0,1.162790698,20.93023256,0,0,0,0,0,0,0,0,61.03
16,0,0,66.66666667,0,0,10.73446328,0,1.129943503,21.46892655,0,0,0,0,0,0,0,0,57.59
17,0,0,67.03296703,0,0,9.89010989,0,1.098901099,21.97802198,0,0,0,0,0,0,0,0,54.31
18,0,0,66.66666667,0,0,10.92436975,0,0.56022409,21.8487395,0,0,0,0,0,0,0,0,55.64
19,0,0,66.27218935,0,0,0,0,2.366863905,20.1183432,0,11.24260355,0,0,0,0,0,0,57.72
20,0,0,66.66666667,0,0,0,0,2.298850575,20.68965517,0,10.34482759,0,0,0,0,0,0,56.23
21,0,0,67.03910615,0,0,0,0,2.234636872,21.22905028,0,9.497206704,0,0,0,0,0,0,54.86
22,0,0,66.66666667,0,0,0,0,1.709401709,21.08262108,0,10.54131054,0,0,0,0,0,0,56.16
23,0,0,66.27906977,0,0,0,0,1.162790698,20.93023256,0,11.62790698,0,0,0,0,0,0,59.17
