,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,loss
2,0,0,63.39794392,0,0,5.031987014,9.548362456,21.94213692,0,0,0,0,0,0,0.079569687,0,0,5.952243834
3,0,0,66.66666667,0,0,0,0,31.3,0,0,0,2.033333333,0,0,0,0,0,8.016417904
133,0,0,61.53846154,0,0,0,0,23.07692308,0,0,3.846153846,0,0,3.846153846,0,7.692307692,0,5.65499231
134,0,0,62.96296296,0,0,0,0,22.22222222,0,0,2.777777778,3.055555556,0,2.777777778,0.648148148,5.555555556,0,5.991464547
135,0,0,62.96255139,0,0,0,0,20.372634,0,0,2.778086454,4.581990592,0,2.778086454,0.970478201,5.556172908,0,5.843044542
136,0,0,61.53846154,0,0,0,0,19.23076923,0,0,3.846153846,3.173076923,0,3.846153846,0.673076923,7.692307692,0,5.713832811
137,0,0,62.96296296,0,0,0,0,18.51851852,0,0,2.777777778,6.111111111,0,2.777777778,1.296296296,5.555555556,0,5.843044542
138,0,0,61.53846154,0,0,0,0,15.38461538,0,0,3.846153846,6.346153846,0,3.846153846,1.346153846,7.692307692,0,5.599422459
139,0,0,62.96296296,0,0,0,0,14.81481481,0,0,2.777777778,9.166666667,0,2.777777778,1.944444444,5.555555556,0,5.683979847
153,0,4.824120603,63.51758794,0,0,0,0,23.08207705,0,1.139028476,2.546063652,0.335008375,0,0.938023451,1.775544389,0,1.842546064,7.264430223
156,0,0.769230769,60.38461538,0,0,0,0,21.15384615,0,1.538461538,0,0,0,0,0,0.769230769,15.38461538,7.60090246
162,0,5.750073012,61.79706006,0,0.129798488,1.49268261,5.49696596,17.9998053,0,0.084369017,7.145406756,0.051919395,0.051919395,0,0,0,0,6.907755279
163,0,0,63.35647928,0,0,4.993817179,9.873489965,21.77621358,0,0,0,0,0,0,0,0,0,6.214608098
170,0,10.30881778,58.80102753,0,5.818953482,0,5.92505724,14.64511085,0,4.501033116,0,0,0,0,0,0,0,5.776353167
174,15.08100332,0,58.09720398,0,0,0,6.173766185,20.64802652,0,0,0,0,0,0,0,0,0,3.673006105
180,0,0,57.50850134,0,0,0,8.914257955,18.23232937,0,15.34491134,0,0,0,0,0,0,0,4.744432253
181,0,0,60.31746032,0,6.349206349,4.761904762,9.523809524,19.04761905,0,0,0,0,0,0,0,0,0,3.213888283
182,0,0,60.30217605,0,6.328592696,0,9.717778974,18.90975896,0,0,4.741693326,0,0,0,0,0,0,4.104394898
188,0,0,59.71067723,0,6.463045299,0,9.678458664,17.81364779,0,0,0,0,0,0,0,6.334171016,0,4.456750181
196,0,0,59.68699581,0,3.343013875,6.311713456,9.506292352,17.91222975,0,3.23975476,0,0,0,0,0,0,0,4.068676815
201,9.861455623,0,60.17302922,0,0.042349809,0,9.250408373,19.81668582,0,0,0,0,0,0,0.856071148,0,0,3.973898409
202,9.026564942,0,60.14645954,0,0.036768085,1.283818978,9.363605724,20.14278273,0,0,0,0,0,0,0,0,0,3.130407177
205,7.992247178,0,61.57222666,0,0.057006043,0,9.109565614,18.5782693,2.690685213,0,0,0,0,0,0,0,0,2.34028696
207,9.297457053,0,59.91318269,0,0.061572563,0,9.242041746,19.88485931,0,0,0,0,0,0,0,1.600886645,0,3.040729639
208,4.417816509,0,60.65419995,0,4.532800775,0,9.222948439,19.76519003,0,0,0,1.407044299,0,0,0,0,0,4.290359446
209,4.422393728,0,60.13414186,0,4.759279677,1.176038221,9.298052187,20.21009433,0,0,0,0,0,0,0,0,0,3.493312671
210,4.511832049,0,59.99201989,0,4.794205212,0,9.324452902,19.97483196,0,0,0,0,0,1.402657991,0,0,0,2.679462744
212,0,0,61.39862523,0,4.351530989,0,8.776913026,18.20712379,3.005169573,4.260637391,0,0,0,0,0,0,0,2.675099101
214,4.453466199,0,60.04797933,0,4.638002091,0,9.300608968,19.99138833,0,0,0,0,0,0,0,1.568555084,0,4.448166437
215,0,0,59.946803,0,4.311029742,0,3.419807247,21.9834882,0,3.288541919,0,0,0,0.131265329,0,6.919064562,0,4.456750181
217,0,0,60.18457936,0,3.987740625,0,3.374771859,22.37335996,0,3.395433727,0,0,0,3.35410999,0,3.330004477,0,5.572754212
218,0,0,59.87622308,0,4.211181413,0,3.429796356,21.87186668,0,3.457456004,0,0,0,5.300280054,0,1.853196418,0,4.66704559
219,0,0,60.05579857,0,4.112561568,0,3.396135432,22.21609892,0,3.492577412,0,0,0,6.664829677,0,0.061998416,0,3.083471188
223,0,0,60.10012084,0,4.011738305,0,3.431727948,22.14396686,0,3.307440014,3.535301226,0,0,0.07940618,0,3.390298636,0,4.585367559
224,0,0,60.02618523,0,4.203417861,0.034454245,3.438533627,22.13340684,0,3.397188534,3.342061742,0,0,1.660694598,0,1.764057332,0,3.887330393
225,0,0,59.91455053,0,4.265582469,0.034455432,3.424869931,22.0342487,0,3.569582745,3.421424388,0,0,3.335285808,0,0,0,3.79869432
227,0,0,60.13121547,0,3.88121547,0.075966851,3.425414365,22.17541436,0,3.370165746,6.940607735,0,0,0,0,0,0,4.537511538
228,0,0,59.96076272,0,4.212845047,1.638328629,3.414331934,22.1277621,0,3.613960212,5.032009362,0,0,0,0,0,0,4.22673375
229,0,0,60.0703424,0,3.999862074,1.575807731,3.461949588,22.12682321,0,3.434364332,3.617116651,0,0,1.713734009,0,0,0,4.406319327
230,0,0,60.06334779,0,4.110720925,1.490738828,3.435929216,22.19927012,0,3.470357364,1.697307719,0,0,3.515113957,0,0.017214074,0,4.147745339
232,0,0,60.04614961,0,4.174128668,1.62212426,3.409560546,22.19658355,0,3.444000551,0,0,0,5.06268081,0,0.044772007,0,4.062845895
234,0,0,59.95157385,0,4.136976825,3.261847112,3.403666551,21.95780007,0,3.375994466,0,0,0,3.891387063,0,0.020754064,0,4.635629393
235,0,0,59.9012465,0,4.260902593,5.196643762,3.466731121,21.90532095,0,3.41148441,1.857670661,0,0,0,0,0,0,3.958066944
236,0,0,60.08458259,0,4.153486453,4.758630175,3.500206299,22.20121029,0,3.410810067,0,0,0,1.89107413,0,0,0,4.261580482
253,0,0,62.58864003,0,0,2.871586042,4.612792249,22.87088394,0,0,7.056097732,0,0,0,0,0,0,4.585367559
260,0,0,60.28824684,0,3.511739631,1.522430476,4.851478449,21.60498004,0,3.39671155,4.824413018,0,0,0,0,0,0,3.626844063
262,0,0,57.39731237,0,7.270537525,0,7.524087221,18.17951318,0,7.023326572,0,0,0,0,0,2.605223124,0,3.700952035
269,0,0,55.18587989,0,9.759847483,1.312997755,9.064911903,15.37160604,0,9.304756926,0,0,0,0,0,0,0,3.053361386
270,0,0,55.40843599,0,9.290037172,0,9.320758195,15.3666554,0,9.130287856,1.483825382,0,0,0,0,0,0,3.776618368
275,0,0,59.36679585,0,6.394549319,0,6.238279785,21.87460933,0,6.125765721,0,0,0,0,0,0,0,5.403677882
285,0,0,66.66666667,0,0,0,0,31.28666667,0,0,0,2.046666667,0,0,0,0,0,8.016417904
286,1.278772379,4.795396419,62.6758312,0,0,3.24488491,4.219948849,21.59526854,0,0.319693095,1.774296675,0,0.095907928,0,0,0,0,5.339139361
287,1.291155584,4.841833441,62.63718528,0,0,3.599096191,3.615235636,21.80438993,0,0.322788896,1.791478373,0,0.096836669,0,0,0,0,5.132802928
288,1.275876368,4.784536378,62.64871934,0,0,3.872284776,4.433670377,21.43791267,0,0.318969092,1.132340276,0,0.095690728,0,0,0,0,5.203007187
289,1.271253774,4.767201653,62.57746703,0,0,4.179246782,4.830764341,21.10281265,0,0.317813444,0.858096297,0,0.095344033,0,0,0,0,5.278514739
290,1.254665788,4.704996707,62.42275964,0,0,4.435243562,6.053762429,20.20325586,0,0.313666447,0.517549638,0,0.094099934,0,0,0,0,4.86653495
291,1.300970874,4.854368932,62.3592233,0,0,5,3.948220065,21.06472492,0,0.323624595,1.019417476,0,0.129449838,0,0,0,0,5.278514739
292,1.291732271,5.462549404,62.2730632,0,0,5.2826066,3.920182513,20.56489187,0,0.321326436,0.690851836,0,0.192795861,0,0,0,0,5.240048458
